%time,field.speed
89122000000,11.851027
89201000000,11.50103891
89231000000,10.93103891
89295000000,10.95103891
89358000000,10.32603891
89389000000,9.956038915
89464000000,9.206038915
89488000000,8.786038915
89558000000,8.161038915
89595000000,7.641038915
89619000000,7.311038915
89696000000,7.371038915
89757000000,6.771038915
89826000000,6.981038915
89891000000,7.141038915
89921000000,6.796038915
89999000000,6.781038915
90064000000,6.281038915
90093000000,5.861038915
90158000000,5.238796931
90229000000,5.353796931
90303000000,5.303796931
90338000000,5.38451123
90377000000,5.36822356
90415000000,5.512336863
90498000000,5.772336863
90563000000,5.794689572
90616000000,5.707207001
90652000000,6.187207001
90696000000,6.827207001
90771000000,7.227207001
90805000000,7.527207001
90838000000,7.802207001
90873000000,8.102207001
90972000000,8.502207001
91017000000,8.802207001
91059000000,9.102207001
91093000000,9.402207001
91170000000,9.650831014
91211000000,9.950831014
91254000000,10.25083101
91281000000,10.55083101
91360000000,10.82369055
91404000000,11.04869055
91442000000,10.44331217
91535000000,9.918312175
91602000000,10.31831217
91634000000,10.61831217
91707000000,10.73704687
91747000000,11.03704687
91780000000,11.33704687
91817000000,10.51204687
91905000000,9.987046875
91938000000,10.28704687
92032000000,10.11422491
92104000000,10.16194006
92128000000,10.46194006
92224000000,10.26065794
92293000000,10.30806104
92371000000,10.41265083
92398000000,10.26028326
92460000000,10.66028326
92500000000,10.88528326
92572000000,11.28528326
92598000000,11.58528326
92696000000,11.06028326
92761000000,11.46028326
92800000000,11.71028326
92831000000,11.98528326
92890000000,10.51028326
92923000000,11.0855297
92990000000,11.22044982
93062000000,11.62044982
93107000000,11.89544982
93135000000,12.19544982
93223000000,11.64544982
93307000000,11.46774524
93338000000,11.76774524
93369000000,12.06774524
93473000000,12.27404133
93508000000,12.57404133
93604000000,12.04904133
93635000000,12.34904133
93666000000,12.19380115
93739000000,12.14993803
93772000000,12.42493803
93859000000,12.82493803
93901000000,13.02493803
93929000000,13.24346571
93992000000,12.74346571
94033000000,12.94346571
94098000000,13.20267827
94163000000,13.12256644
94200000000,13.03341146
94226000000,12.35841146
94297000000,12.70397262
94329000000,11.98545731
94402000000,11.71315383
94427000000,11.26815383
94493000000,11.33815383
94524000000,10.92315383
94594000000,10.96815383
94655000000,10.44315383
94724000000,10.74315383
94787000000,10.93815383
94859000000,10.33815383
94895000000,9.798153832
94980000000,8.673153832
95009000000,8.253153832
95043000000,8.675184845
95072000000,9.155184845
95172000000,9.555184845
95207000000,10.05518485
95242000000,9.398012688
95276000000,9.540079314
95360000000,9.591057869
95391000000,9.107601078
95453000000,8.607601078
95502000000,9.287601078
95531000000,9.767601078
95607000000,9.912767876
95639000000,10.18776788
95681000000,10.48776788
95716000000,10.88776788
95803000000,10.36276788
95838000000,10.66276788
95895000000,10.96276788
95943000000,11.26276788
95989000000,11.56276788
96060000000,11.96276788
96101000000,12.26276788
96143000000,12.56276788
96223000000,12.96276788
96282000000,12.76276788
96325000000,12.83540331
96378000000,12.68540331
96442000000,12.18540331
96486000000,11.91615774
96542000000,11.83590951
96579000000,11.85063627
96651000000,12.00731788
96681000000,12.30731788
96745000000,12.01510374
96785000000,12.29010374
96856000000,12.69010374
96891000000,12.99010374
96938000000,13.39010374
96980000000,13.5
97048000000,13.025
97096000000,13.325
97141000000,13.03324653
97171000000,13.25824653
97216000000,13.49411596
97284000000,13.11911596
97344000000,13.5
97378000000,12.625
97454000000,13.12733393
97491000000,12.72453438
97549000000,11.87453438
97585000000,11.42886131
97655000000,11.82886131
97705000000,12.32886131
97741000000,12.80886131
97778000000,11.88386131
97823000000,12.28386131
97892000000,12.85908682
97944000000,12.3543689
98020000000,12.47012404
98076000000,12.97833514
98110000000,13.37833514
98175000000,13.01968227
98244000000,12.93440579
98283000000,12.70630689
98314000000,12.84341517
98382000000,12.02848639
98453000000,13.10848639
98519000000,12.4663597
98580000000,12.4046266
98613000000,12.8046266
98692000000,13.21902737
98737000000,12.69402737
98781000000,12.62423789
98844000000,12.20793691
98910000000,12.52055484
98980000000,12.65748811
99058000000,12.96322138
99090000000,12.38623191
99127000000,12.86623191
99192000000,12.67015035
99242000000,13.07015035
99270000000,12.66709736
99345000000,13.27092476
99396000000,12.77990989
99452000000,12.4006184
99498000000,12.26257447
99545000000,11.97051665
99615000000,11.93044528
99685000000,11.71044528
99746000000,11.86801221
99777000000,11.49352526
99836000000,12.11416155
99884000000,12.73331491
99944000000,12.28388662
99983000000,12.43134292
1.00013E+11,11.86134292
1.00072E+11,12.46150032
1.00112E+11,12.86150032
1.00187E+11,11.55895952
1.00241E+11,11.12954821
1.00273E+11,10.68954821
1.00339E+11,10.87454821
1.00377E+11,10.37454821
1.00442E+11,10.52954821
1.00476E+11,9.994548209
1.00549E+11,9.929548209
1.00581E+11,9.354548209
1.00638E+11,9.529548209
1.00708E+11,8.879548209
1.00777E+11,9.024548209
1.00842E+11,9.179548209
1.00871E+11,8.454548209
1.00937E+11,8.689548209
1.01005E+11,8.114548209
1.01078E+11,6.570173151
1.01138E+11,6.830173151
1.01176E+11,6.63506512
1.01241E+11,6.08506512
1.01278E+11,6.28506512
1.01306E+11,6.68506512
1.0137E+11,6.32506512
1.0145E+11,6.58506512
1.01504E+11,6.98506512
1.01574E+11,7.446796228
1.01603E+11,7.553638533
1.01673E+11,7.202084398
1.01747E+11,7.366707402
1.01775E+11,7.152117678
1.01842E+11,7.352011267
1.01875E+11,7.892011267
1.01941E+11,7.902118289
1.01986E+11,7.77587084
1.02043E+11,8.17587084
1.02079E+11,8.125346877
1.02154E+11,8.016494739
1.02189E+11,8.316494739
1.02242E+11,8.669956622
1.02284E+11,8.919956622
1.02342E+11,9.169617295
1.02363E+11,9.13987452
1.02447E+11,8.58987452
1.02472E+11,8.88987452
1.02539E+11,8.526641172
1.02579E+11,8.676641172
1.02643E+11,8.649672344
1.02676E+11,8.899672344
1.02709E+11,9.299672344
1.0279E+11,8.711899531
1.02846E+11,9.111899531
1.02876E+11,9.386899531
1.02954E+11,8.966427101
1.0298E+11,9.266427101
1.03049E+11,9.057348579
1.03086E+11,9.332348579
1.03145E+11,9.732348579
1.03174E+11,10.00734858
1.03254E+11,9.457348579
1.03285E+11,9.757348579
1.03342E+11,10.15734858
1.03413E+11,10.55734858
1.03491E+11,10.05734858
1.03535E+11,10.35734858
1.0357E+11,10.63234858
1.03642E+11,10.08234858
1.03681E+11,10.33234858
1.03745E+11,10.00261814
1.03778E+11,10.30261814
1.03822E+11,10.70261814
1.03878E+11,10.42761814
1.03948E+11,10.2665743
1.04023E+11,10.6665743
1.04086E+11,10.43160761
1.04126E+11,10.73160761
1.04187E+11,10.53160761
1.04223E+11,10.83160761
1.04282E+11,10.58160761
1.04346E+11,10.62829917
1.04385E+11,11.02829917
1.0445E+11,11.42829917
1.04479E+11,11.45528698
1.04541E+11,10.93028698
1.04611E+11,11.33028698
1.04655E+11,11.60528698
1.04727E+11,12.00528698
1.04779E+11,11.88028698
1.04812E+11,12.28028698
1.04877E+11,11.75528698
1.04939E+11,11.41418629
1.04972E+11,11.56418629
1.05013E+11,11.96418629
1.05076E+11,11.35728787
1.05139E+11,10.70308439
1.05179E+11,11.30308439
1.05253E+11,10.47406501
1.05314E+11,10.87406501
1.05375E+11,11.54552121
1.05449E+11,11.67804799
1.05507E+11,11.43122373
1.0555E+11,10.44516888
