%time,field
1548122267967173099,0.0
1548122268015276908,0.0
1548122268063066005,0.0
1548122268112222909,0.0
1548122268208301067,0.0
1548122268256205081,0.0
1548122268304197072,0.0
1548122268352060079,0.0
1548122268400271892,0.0
1548122268447932958,0.0
1548122268496182918,0.0
1548122268544152975,0.0
1548122268592283010,0.0
1548122268640219926,0.0
1548122268688189983,0.0
1548122268736196994,0.0
1548122268784271955,0.0
1548122268832112073,0.0
1548122268880263090,0.0
1548122268928046941,0.0
1548122268976217985,0.0
1548122269025069952,0.0
1548122269073103904,0.0
1548122269120876073,0.0
1548122269168478012,0.0
1548122269217055082,0.0
1548122269264971017,0.0
1548122269313021898,0.0
1548122269361195087,0.0
1548122269457264900,0.0
1548122269505126953,0.0
1548122269553286075,0.0
1548122269601191997,0.0
1548122269649190902,0.0
1548122269697340965,0.0
1548122269745331048,0.0
1548122269793260097,0.0
1548122269841249942,0.0
1548122269889054059,0.0
1548122269937107086,0.0
1548122269986263036,0.0
1548122270034352064,0.0
1548122270082356929,0.0
1548122270130110979,0.0
1548122270178348064,0.0
1548122270226303100,0.0
1548122270273927927,0.0
1548122270322266101,0.0
1548122270370382070,0.0
1548122270418241977,0.0
1548122270466183900,0.0
1548122270514168024,0.0
1548122270561989068,0.0
1548122270658266067,0.0
1548122270706060886,0.0
1548122270754213094,0.0
1548122270802283048,0.0
1548122270850078105,0.0
1548122270899048089,0.0
1548122270947302103,0.0
1548122270995208024,0.0
1548122271043320894,0.0
1548122271091156959,0.0
1548122271139389991,0.0
1548122271187033891,0.0
1548122271235137939,0.0
1548122271282490015,0.0
1548122271330969095,0.0
1548122271378947973,0.0
1548122271427113056,0.0
1548122271475296020,0.0
1548122271523299932,0.0
1548122271571194887,0.0
1548122271619262933,0.0
1548122271667181015,0.0
1548122271715255022,0.0
1548122271763148069,0.0
1548122271811157941,0.0
1548122271908284902,0.0
1548122271956103086,0.0
1548122272004237890,0.0
1548122272052083015,0.0
1548122272100258111,0.0
1548122272148011922,0.0
1548122272196176052,0.0
1548122272244019985,0.0
1548122272292272090,0.0
1548122272340177059,0.0
1548122272388163089,0.0
1548122272436203002,0.0
1548122272484324932,0.0
1548122272532124042,0.0
1548122272580127954,0.0
1548122272628231048,0.0
1548122272676127910,0.0
1548122272724178075,0.0
1548122272772207975,0.0
1548122272821079969,0.0
1548122272869221925,0.0
1548122272917125940,0.0
1548122272965135097,0.0
1548122273013227939,0.0
1548122273061201095,0.0
1548122273157135963,0.0
1548122273204960107,0.15000000596
1548122273253123998,0.289999991655
1548122273301065921,0.460000008345
1548122273349126100,1.23000001907
1548122273397140979,1.52999997139
1548122273445233106,1.86000001431
1548122273493134975,2.0
1548122273542103052,1.92999994755
1548122273590059041,1.84000003338
1548122273638150930,1.78999996185
1548122273686172008,1.89999997616
1548122273734148979,2.0
1548122273782120943,2.09999990463
1548122273830049037,2.13000011444
1548122273878176927,2.20000004768
1548122273926126003,2.25
1548122273973819017,2.27999997139
1548122274022252082,2.33999991417
1548122274070054054,2.36999988556
1548122274118280887,2.42000007629
1548122274166168928,2.45000004768
1548122274214220046,2.48000001907
1548122274262140989,2.5
1548122274358277082,2.56999993324
1548122274406264066,2.57999992371
1548122274455262899,2.6099998951
1548122274503233909,2.61999988556
1548122274551260948,2.66000008583
1548122274599031925,2.67000007629
1548122274647133111,2.71000003815
1548122274695056915,2.70000004768
1548122274743216037,2.73000001907
1548122274791276931,2.75
1548122274839215993,2.75999999046
1548122274887152910,2.79999995232
1548122274935188055,2.79999995232
1548122274983242988,2.83999991417
1548122275031038999,2.80999994278
1548122275078883886,2.81999993324
1548122275127145051,2.79999995232
1548122275175019025,2.8599998951
1548122275223334074,2.70000004768
1548122275271173000,2.74000000954
1548122275319266080,2.69000005722
1548122275367052078,2.68000006676
1548122275415278911,2.68000006676
1548122275463223934,2.63000011444
1548122275512083053,2.63000011444
1548122275608437061,2.56999993324
1548122275656269073,2.54999995232
1548122275704226970,2.51999998093
1548122275752192974,2.50999999046
1548122275800290107,2.47000002861
1548122275848375082,2.47000002861
1548122275896235942,2.42000007629
1548122275944231986,2.42000007629
1548122275992306947,2.38000011444
1548122276040193080,2.38000011444
1548122276088258028,2.33999991417
1548122276136208057,2.33999991417
1548122276184154033,2.29999995232
1548122276231985092,2.27999997139
1548122276280246973,2.25
1548122276328058958,2.24000000954
1548122276376163959,2.21000003815
1548122276424161911,2.20000004768
1548122276472126960,2.19000005722
1548122276519905090,2.16000008583
1548122276569058895,2.13000011444
1548122276617105960,2.09999990463
1548122276665175914,2.1099998951
1548122276713309049,2.06999993324
1548122276761149883,2.02999997139
1548122276857263088,1.99000000954
1548122276904926061,1.92999994755
1548122276953186035,1.88999998569
1548122277001188039,1.84000003338
1548122277049194097,1.83000004292
1548122277097075939,1.78999996185
1548122277145308017,1.73000001907
1548122277193182945,1.74000000954
1548122277241233110,1.67999994755
1548122277289113044,1.63999998569
1548122277337181091,1.63999998569
1548122277385009050,1.60000002384
1548122277433223009,1.55999994278
1548122277481146097,1.52999997139
1548122277529282093,1.48000001907
1548122277577156066,1.49000000954
1548122277625154018,1.42999994755
1548122277674294948,1.40999996662
1548122277722299098,1.37999999523
